Instance Type,Instance Family,Cloud Provider,GPU Count,GPU Type,GPU Memory (GB),GPU Variant
Standard_ND96is_MI300X_v5,ND,Azure,8,AMD MI300X,192,OAM
Standard_ND96isr_MI300X_v5,ND,Azure,8,AMD MI300X,192,OAM
g4ad.2xlarge,g4ad,AWS,1,AMD Radeon Pro V520,8,PCIe
g4ad.4xlarge,g4ad,AWS,1,AMD Radeon Pro V520,8,PCIe
g4ad.xlarge,g4ad,AWS,1,AMD Radeon Pro V520,8,PCIe
g4ad.8xlarge,g4ad,AWS,2,AMD Radeon Pro V520,8,PCIe
g4ad.16xlarge,g4ad,AWS,4,AMD Radeon Pro V520,8,PCIe
Standard_NV4as_v4,NV,Azure,1/8,AMD Radeon Pro V520,8,PCIe
inf1.6xlarge,inf1,AWS,4,Inferentia 1,8,Custom AWS
inf2.8xlarge,inf2,AWS,1,Inferentia 2,32,Custom AWS
inf2.xlarge,inf2,AWS,1,Inferentia 2,32,Custom AWS
inf2.24xlarge,inf2,AWS,6,Inferentia 2,32,Custom AWS
Standard_NV36ads_A10_v5,NV,Azure,1,NVIDIA A10,24,PCIe
Standard_NV72ads_A10_v5,NV,Azure,2,NVIDIA A10,24,PCIe
Standard_NV12ads_A10_v5,NV,Azure,1/3,NVIDIA A10,24,PCIe
Standard_NV6ads_A10_v5,NV,Azure,1/6,NVIDIA A10,24,PCIe
p4d.24xlarge,p4d,AWS,8,NVIDIA A100,40,SXM4
p4de.24xlarge,p4de,AWS,8,NVIDIA A100,80,SXM4
Standard_NC24ads_A100_v4,NC,Azure,1,NVIDIA A100,80,PCIe
Standard_NC48ads_A100_v4,NC,Azure,2,NVIDIA A100,80,PCIe
highgpu.a2-1g-vcpu,highgpu,GCP,1,NVIDIA A100,40,SXM4
ultragpu.a2-1g-vcpu,ultragpu,GCP,1,NVIDIA A100,40,SXM4
highgpu.a2-2g-vcpu,highgpu,GCP,2,NVIDIA A100,40,SXM4
ultragpu.a2-2g-vcpu,ultragpu,GCP,2,NVIDIA A100,40,SXM4
ultragpu.a2-4g-vcpu,ultragpu,GCP,4,NVIDIA A100,40,SXM4
highgpu.a4-8g-vcpu,highgpu,GCP,8,NVIDIA A100,80,
ultragpu.a2-8g-vcpu,ultragpu,GCP,8,NVIDIA A100,40,SXM4
g5.16xlarge,g5,AWS,1,NVIDIA A10G,24,PCIe
g5.2xlarge,g5,AWS,1,NVIDIA A10G,24,PCIe
g5.4xlarge,g5,AWS,1,NVIDIA A10G,24,PCIe
g5.8xlarge,g5,AWS,1,NVIDIA A10G,24,PCIe
g5.xlarge,g5,AWS,1,NVIDIA A10G,24,PCIe
g5.12xlarge,g5,AWS,4,NVIDIA A10G,24,PCIe
g5.24xlarge,g5,AWS,4,NVIDIA A10G,24,PCIe
g5.48xlarge,g5,AWS,8,NVIDIA A10G,24,PCIe
p6-b300.48xlarge,p6-b300,AWS,8,NVIDIA B300,268,SXM5
