Instance Type,Instance Family,Cloud Provider,GPU Count,GPU Type,GPU Memory (GB),GPU Variant,Version of list
Standard_ND96is_MI300X_v5,ND,Azure,8,AMD MI300X,192,OAM,
Standard_ND96isr_MI300X_v5,ND,Azure,8,AMD MI300X,192,OAM,
gx3d-208x1792x8mi300x,gx3d,IBM,8,AMD MI300X,192,OAM,
g4ad.2xlarge,g4ad,AWS,1,AMD Radeon Pro V520,8,PCIe,
g4ad.4xlarge,g4ad,AWS,1,AMD Radeon Pro V520,8,PCIe,
g4ad.xlarge,g4ad,AWS,1,AMD Radeon Pro V520,8,PCIe,
g4ad.8xlarge,g4ad,AWS,2,AMD Radeon Pro V520,8,PCIe,
g4ad.16xlarge,g4ad,AWS,4,AMD Radeon Pro V520,8,PCIe,
Standard_NV4as_v4,NV,Azure,1/8,AMD Radeon Pro V520,8,PCIe,
f2.6xlarge,f2,AWS,1,AMD Virtex,16,PCIe,
f2.12xlarge,f2,AWS,2,AMD Virtex,16,PCIe,
f2.48xlarge,f2,AWS,8,AMD Virtex,16,PCIe,
inf1.xlarge,inf1,AWS,1,Inferentia 1,8,,
inf1.2xlarge,inf1,AWS,1,Inferentia 1,8,,
inf1.6xlarge,inf1,AWS,4,Inferentia 1,8,,
inf1.24xlarge,inf1,AWS,16,Inferentia 1,8,,
inf2.8xlarge,inf2,AWS,1,Inferentia 2,32,,
inf2.xlarge,inf2,AWS,1,Inferentia 2,32,,
inf2.24xlarge,inf2,AWS,6,Inferentia 2,32,,
inf2.48xlarge,inf2,AWS,12,Inferentia 2,32,,
dl1.24xlarge,dl1,AWS,8,Intel Gaudi 1,32,PCIe,
gx3d-160x1792x8gaudi3,gx3d,IBM,8,Intel Gaudi 3,128,PCIe,
gx3d-160x1792x8gaudi3-internal,gx3d,IBM,8,Intel Gaudi 3,128,PCIe,
Standard_NV36ads_A10_v5,NV,Azure,1,NVIDIA A10,24,PCIe,
Standard_NV72ads_A10_v5,NV,Azure,2,NVIDIA A10,24,PCIe,
Standard_NV12ads_A10_v5,NV,Azure,1/3,NVIDIA A10,24,PCIe,
Standard_NV6ads_A10_v5,NV,Azure,1/6,NVIDIA A10,24,PCIe,
highgpu.a2-1g-vcpu,highgpu,GCP,1,NVIDIA A100,40,SXM4,
ultragpu.a2-1g-vcpu,ultragpu,GCP,1,NVIDIA A100,40,SXM4,
highgpu.a2-2g-vcpu,highgpu,GCP,2,NVIDIA A100,40,SXM4,
ultragpu.a2-2g-vcpu,ultragpu,GCP,2,NVIDIA A100,40,SXM4,
ultragpu.a2-4g-vcpu,ultragpu,GCP,4,NVIDIA A100,40,SXM4,
highgpu.a2-4g-vcpu,highgpu,GCP,4,NVIDIA A100,40,SXM4,
p4d.24xlarge,p4d,AWS,8,NVIDIA A100,40,SXM4,
ultragpu.a2-8g-vcpu,ultragpu,GCP,8,NVIDIA A100,40,SXM4,
